name,region_IEA,listed_in_IEA_region,UN_member_state,alternate_names,territory_of
Saudi Arabia,Middle East,y,y,,
Senegal,Africa,y,y,,
Serbia,Europe,y,y,,
Seychelles,Africa,n,y,,
Sierra Leone,Africa,n,y,,
Singapore,Asia Pacific,y,y,,
Slovakia,Europe,y,y,Slovak Republic,
Slovenia,Europe,y,y,,
Solomon Islands,Asia Pacific,n,y,,
Somalia,Africa,n,y,Federal Republic of Somalia,
South Africa,Africa,y,y,S. Africa,
South Sudan,Africa,y,y,S. Sudan,
Spain,Europe,y,y,,
Sri Lanka,Asia Pacific,y,y,,
Sudan,Africa,y,y,,
Suriname,Central and South America,y,y,,
Sweden,Europe,y,y,,
Switzerland,Europe,y,y,,
Syria,Middle East,y,y,Syrian Arab Republic,
Tajikistan,Eurasia,y,y,,
Tanzania,Africa,y,y,United Republic of Tanzania,
Thailand,Asia Pacific,y,y,,
Timor-Leste,Asia Pacific,n,y,Timor Leste; East Timor,
Togo,Africa,y,y,,
Tonga,Asia Pacific,n,y,,
Trinidad and Tobago,Central and South America,y,y,Trinidad & Tobago,
Tunisia,Africa,y,y,,
Turkey,Europe,y,y,Türkiye; Turkiye; Republic of Turkey; Republic of Turkiye; Republic of Türkiye,
Turkmenistan,Eurasia,y,y,,
Tuvalu,Asia Pacific,n,y,,
Uganda,Africa,y,y,,
Ukraine,Europe,y,y,,
United Arab Emirates,Middle East,y,y,UAE; U.A.E.,
United Kingdom,Europe,y,y,United Kingdom of Great Britain and Northern Ireland; UK; U.K.,
United States of America,North America,y,y,United States; USA; U.S.A.; US; U.S.; UNITED STATES,
Uruguay,Central and South America,y,y,,
Uzbekistan,Eurasia,y,y,,
Vanuatu,Asia Pacific,n,y,,
Venezuela,Central and South America,y,y,"Bolivarian Republic of Venezuela; Venezuela, Bolivarian Republic of",
Vietnam,Asia Pacific,y,y,Viet Nam,
Yemen,Middle East,y,y,,
Zambia,Africa,y,y,,
Zimbabwe,Africa,y,y,,
"Libya, Tunisia",Africa,n,n,Libya/Tunisia JEZ,
American Samoa,Asia Pacific,n,n,,United States of America
Anguilla,North America,n,n,,United Kingdom
Aruba,Central and South America,n,n,,Netherlands
Bermuda,North America,n,n,,United Kingdom
British Virgin Islands,North America,n,n,,United Kingdom
Cayman Islands,North America,n,n,,United Kingdom
Curacao,Central and South America,y,n,Curaçao,Netherlands
Falkland Islands,Central and South America,n,n,Falkland Is.; Islas Malvinas; Falklands (Malvinas),United Kingdom
French Guiana,Central and South America,n,n,,France
French Polynesia,Asia Pacific,n,n,,France
Gibraltar,Europe,y,n,,United Kingdom
Guam,Asia Pacific,n,n,,United States of America
Isle of Man,Europe,n,n,,United Kingdom
Martinique,Central and South America,n,n,,France
Northern Mariana Islands,Asia Pacific,n,n,,United States of America
Palestine,Middle East,n,n,Palestinian Territory,Disputed territory
Puerto Rico,North America,n,n,,United States of America
Taiwan,Asia Pacific,y,n,Republic of China; ROC; R.O.C.,Disputed territory
US Virgin Islands,North America,n,n,US Virgin Islands; U.S. Virgin Islands; Virgin Islands,United States of America
Vatican City,Europe,n,n,The Vatican,
Carribean Netherlands,Central and South America,n,n,Bes Islands,Netherlands
Saudi Arabian–Kuwaiti neutral zone,Middle East,n,n,Divided Zone; Neutral Zone; Saudi-Kuwaiti Neutral Zone,Disputed territory
Faroe Islands,Europe,n,n,,Denmark
Greenland,North America,n,n,,Denmark
"Malaysia, Thailand",Asia Pacific,n,n,Malaysia–Thailand joint development area; MTJDA; Malaysia/Thailand JDA,
"Australia, East Timor",Asia Pacific,n,n,Joint Petroleum Development Area; JPDA; Australia - East Timor,
"Nigeria, Sao Tome and Principe",Africa,n,n,Sao Tome & Nigeria,
St Pierre and Miquelon,North America,n,n,St Pierre & Miquelon,France
Turks and Caicos Islands,Central and South America,n,n,Turks & Caicos Islds,United Kingdom
Western Sahara,Africa,n,n,,Disputed territory
